"AT" "WT00" "WT10" "WT25" "WT50" "WT75"
5.005 8.735605 8.731846 8.743663 8.77445 8.850332
0.8645 5.260137 5.260376 5.263024 5.269301 5.296377
0.3984 4.753024 4.712152 4.712349 4.727513 4.729588
1.0018 4.00209 3.934828 3.935163 3.85434 3.857829
4.5016 3.720354 3.738102 3.735382 3.882634 3.854219
7.7317 5.72828 5.729326 5.730794 5.505058 5.50708
13.2613 14.08571 14.10512 14.04654 12.59018 11.43142
17.11 21.54985 21.49137 21.08862 20.10341 16.56965
19.4613 21.52496 21.37738 20.92891 19.95089 17.21238
17.2274 20.7112 20.77209 20.74667 20.57111 19.88738
16.5383 18.72839 18.80779 18.80282 18.81768 18.82911
9.7871 15.49741 15.68201 15.68227 15.68037 15.67331
6.26 10.2886 10.50399 10.50586 10.50704 10.52029
2.9677 7.212941 7.199382 7.194547 7.194036 7.15951
3.1032 5.53195 5.573008 5.610521 5.613003 5.539857
-1.3786 4.623964 4.711579 4.794403 4.783701 4.778266
5.9629 4.658777 4.608795 4.59024 4.421923 4.459198
9.5083 6.227476 6.167116 6.173672 5.880504 5.791144
10.8435 13.25987 12.83409 12.11631 10.20297 9.52983
17.185 19.80311 18.93856 17.69148 14.81894 13.41643
22.2855 22.00542 21.80424 21.75272 21.50175 19.77598
18.6258 22.23768 21.92851 21.8474 21.45389 20.88074
15.025 19.30325 19.32319 19.33149 19.36464 19.22855
10.2097 16.07549 16.08127 16.07668 16.05139 16.10079
3.3633 10.27581 10.41954 10.42037 10.44799 10.53019
1.2452 6.027796 6.190941 6.190964 6.276337 6.282028
1.0161 5.19868 5.1211 5.122607 5.123186 5.120759
-0.3741 4.730163 4.730527 4.723626 4.721968 4.733327
2.8774 3.842082 3.863276 3.905166 3.915974 3.841587
7.455 6.748244 6.576254 6.612738 6.529134 6.373385
10.3161 12.02216 11.75751 11.68017 11.53713 11.34668
